,input_1,input_2,output,task_id,Actual
0,0.614804777,0.999832247,0.500904924,1,1
1,0.612998798,0.999725186,0.49866897,1,1
2,0.611174841,0.999494652,0.496407026,1,1
3,0.609316335,0.999045508,0.494071479,1,1
4,0.607409673,0.998295662,0.491620842,1,1
5,0.605444822,0.997178931,0.4890236,1,1
6,0.60341564,0.995646794,0.486261333,1,1
7,0.601319919,0.993669023,0.483330934,1,1
8,0.599159198,0.991233223,0.480245789,1,1
9,0.596938386,0.988343421,0.477035865,1,1
10,0.594665273,0.985017882,0.473746754,1,1
11,0.592349983,0.981286375,0.470437765,1,1
12,0.590004426,0.977187135,0.467179251,1,1
13,0.587641783,0.972763777,0.464049356,1,1
14,0.58527604,0.968062369,0.461130438,1,1
15,0.582921574,0.963128887,0.458505401,1,1
16,0.580592776,0.95800717,0.456254157,1,1
17,0.578303688,0.952737477,0.454450421,1,1
18,0.576067622,0.947355674,0.453159001,1,1
19,0.573896743,0.941893033,0.452433682,1,1
20,0.571801596,0.936376561,0.452315773,1,1
21,0.569790581,0.930829746,0.452833321,1,1
22,0.567869381,0.925273604,0.45400097,1,1
23,0.566040381,0.919727842,0.455820373,1,1
24,0.564302114,0.914212033,0.458281083,1,1
25,0.56264879,0.908746629,0.461361799,1,1
26,0.561069947,0.90335375,0.465031853,1,1
27,0.559550297,0.898057626,0.469252824,1,1
28,0.558069789,0.892884698,0.47398018,1,1
29,0.556603935,0.887863339,0.479164867,1,1
30,0.555124386,0.883023241,0.484754771,1,1
31,0.553599767,0.878394524,0.490696028,1,1
32,0.551996717,0.874006646,0.496934146,1,1
33,0.550281079,0.869887207,0.503414946,1,1
34,0.548419169,0.866060751,0.510085319,1,1
35,0.546379019,0.862547673,0.516893834,1,1
36,0.54413152,0.859363303,0.523791206,1,1
37,0.541651379,0.856517262,0.530730664,1,1
38,0.538917825,0.854013109,0.537668234,1,1
39,0.535915023,0.851848325,0.544562963,1,1
40,0.532632197,0.850014615,0.551377104,1,1
41,0.529063456,0.848498503,0.558076268,1,1
42,0.525207379,0.847282168,0.564629551,1,1
43,0.52106641,0.846344456,0.571009646,1,1
44,0.516646139,0.845662004,0.57719292,1,1
45,0.51195454,0.845210379,0.583159476,1,1
46,0.50700125,0.844965178,0.588893167,1,1
47,0.501796949,0.844903012,0.594381574,1,1
48,0.496352877,0.845002327,0.599615935,1,1
49,0.490680527,0.845244027,0.604591018,1,1
50,0.484791502,0.845611879,0.60930494,1,1
51,0.478697514,0.846092708,0.613758939,1,1
52,0.472410498,0.846676389,0.617957089,1,1
53,0.465942778,0.847355672,0.62190599,1,1
54,0.459307243,0.848125869,0.625614421,1,1
55,0.452517477,0.848984464,0.629092993,1,1
56,0.445587797,0.849930669,0.632353798,1,1
57,0.43853318,0.850964992,0.635410079,1,1
58,0.431369044,0.85208883,0.638275927,1,1
59,0.424110903,0.85330415,0.640966016,1,1
60,0.416773898,0.854613243,0.643495381,1,1
61,0.409372237,0.856018591,0.645879238,1,1
62,0.401918591,0.857522829,0.648132847,1,1
63,0.394423494,0.859128792,0.650271408,1,1
64,0.386894794,0.860839639,0.652309991,1,1
65,0.379337219,0.862659002,0.654263482,1,1
66,0.371752109,0.86459115,0.656146535,1,1
67,0.364137339,0.866641119,0.657973533,1,1
68,0.356487471,0.868814774,0.659758535,1,1
69,0.348794146,0.871118776,0.661515214,1,1
70,0.341046697,0.873560439,0.663256781,1,1
71,0.333232967,0.876147451,0.664995886,1,1
72,0.32534028,0.87888747,0.666744511,1,1
73,0.317356501,0.881787623,0.668513852,1,1
74,0.309271124,0.884853908,0.670314194,1,1
75,0.301076291,0.888090569,0.672154793,1,1
76,0.292767685,0.891499473,0.674043761,1,1
77,0.284345208,0.895079552,0.675987973,1,1
78,0.275813411,0.898826348,0.677992994,1,1
79,0.267181631,0.902731705,0.680063027,1,1
80,0.258463843,0.906783646,0.682200891,1,1
81,0.249678244,0.910966415,0.684408022,1,1
82,0.24084663,0.915260719,0.686684495,1,1
83,0.231993606,0.919644114,0.689029068,1,1
84,0.223145732,0.924091534,0.691439235,1,1
85,0.214330634,0.928575909,0.693911291,1,1
86,0.205576164,0.933068854,0.696440398,1,1
87,0.196909639,0.937541385,0.699020645,1,1
88,0.188357191,0.94196463,0.701645108,1,1
89,0.179943237,0.946310505,0.704305893,1,1
90,0.171690074,0.950552332,0.706994174,1,1
91,0.163617577,0.954665373,0.709700213,1,1
92,0.155742985,0.958627261,0.712413369,1,1
93,0.14808073,0.962418326,0.715122101,1,1
94,0.140642298,0.966021808,0.717813956,1,1
95,0.133436078,0.969423961,0.720475557,1,1
96,0.126467211,0.972614041,0.723092581,1,1
97,0.119737439,0.975584189,0.725649741,1,1
98,0.113244987,0.978329196,0.728130771,1,1
99,0.106984512,0.980846162,0.73051841,1,1
100,0.100947189,0.983134039,0.732794396,1,1
101,0.095120952,0.985193075,0.734939465,1,1
102,0.089490952,0.987024169,0.736933365,1,1
103,0.084040228,0.988628176,0.738754879,1,1
104,0.078750576,0.990005191,0.740381857,1,1
105,0.073603586,0.991153874,0.741791279,1,1
106,0.068581761,0.992070865,0.742959318,1,1
107,0.063669653,0.992750343,0.743861442,1,1
108,0.058854902,0.993183771,0.74447252,1,1
109,0.054129124,0.993359863,0.744766956,1,1
110,0.049488551,0.99326476,0.744718844,1,1
111,0.044934413,0.99288242,0.744302127,1,1
112,0.040473027,0.992195163,0.743490777,1,1
113,0.036115638,0.991184315,0.742258972,1,1
114,0.031878038,0.989830872,0.740581272,1,1
115,0.027780045,0.988116116,0.738432784,1,1
116,0.023844893,0.986022089,0.735789314,1,1
117,0.020098626,0.983531873,0.732627492,1,1
118,0.01656953,0.980629648,0.728924878,1,1
119,0.013287654,0.977300493,0.724660031,1,1
120,0.010284449,0.973529986,0.71981256,1,1
121,0.007592497,0.969303627,0.714363146,1,1
122,0.005245339,0.964606185,0.708293554,1,1
123,0.003277334,0.959421067,0.701586637,1,1
124,0.001723519,0.953729795,0.694226355,1,1
125,0.000619405,0.947511708,0.686197812,1,1
126,6.56E-07,0.940743953,0.677487352,1,1
127,-9.74E-05,0.933401832,0.668082697,1,1
128,0.00035968,0.925459494,0.657973179,1,1
129,0.001404424,0.916890965,0.647150053,1,1
130,0.003066678,0.907671447,0.635606913,1,1
131,0.005372435,0.89777878,0.623340207,1,1
132,0.008342763,0.887194969,0.610349847,1,1
133,0.011992779,0.875907629,0.596639913,1,1
134,0.016330761,0.863911263,0.582219405,1,1
135,0.021357501,0.851208244,0.567103045,1,1
136,0.027065938,0.83780947,0.551312075,1,1
137,0.033441117,0.823734644,0.534875012,1,1
138,0.040460492,0.809012181,0.517828332,1,1
139,0.048094545,0.793678801,0.500217021,1,1
140,0.056307685,0.777778845,0.482094971,1,1
141,0.065059367,0.761363404,0.463525172,1,1
142,0.074305348,0.744489328,0.444579677,1,1
143,0.083999002,0.727218208,0.425339328,1,1
144,0.094092606,0.709615391,0.405893221,1,1
145,0.104538516,0.691749072,0.386337935,1,1
146,0.115290184,0.673689501,0.366776514,1,1
147,0.126302943,0.655508315,0.347317248,1,1
148,0.137534569,0.637277975,0.328072281,1,1
149,0.148945595,0.619071291,0.309156083,1,1
150,0.160499419,0.600960983,0.29068384,1,1
151,0.172162244,0.583019251,0.272769803,1,1
152,0.183902913,0.565317299,0.25552566,1,1
153,0.1956927,0.547924789,0.239058958,1,1
154,0.207505124,0.53090921,0.223471635,1,1
155,0.219315821,0.514335162,0.20885869,1,1
156,0.231102506,0.498263586,0.195307016,1,1
157,0.242845031,0.482750967,0.182894424,1,1
158,0.254525501,0.467848578,0.171688861,1,1
159,0.266128432,0.453601814,0.161747828,1,1
160,0.27764089,0.440049686,0.153117993,1,1
161,0.289052561,0.427224507,0.145834988,1,1
162,0.300355713,0.415151834,0.139923374,1,1
163,0.311545024,0.403850665,0.135396761,1,1
164,0.322617245,0.393333883,0.132258053,1,1
165,0.333570726,0.383608947,0.130499817,1,1
166,0.344404809,0.374678759,0.130104732,1,1
167,0.355119142,0.366542665,0.131046133,1,1
168,0.365712952,0.359197501,0.133288603,1,1
169,0.376184353,0.352638632,0.136788624,1,1
170,0.386529739,0.34686088,0.141495266,1,1
171,0.396743326,0.341859301,0.147350899,1,1
172,0.406816901,0.337629734,0.15429192,1,1
173,0.416739799,0.334169118,0.162249492,1,1
174,0.426499135,0.331475537,0.171150272,1,1
175,0.436080284,0.329548032,0.180917117,1,1
176,0.445467565,0.32838621,0.191469778,1,1
177,0.454645089,0.32798969,0.202725548,1,1
178,0.463597673,0.328357482,0.214599877,1,1
179,0.472311748,0.329487346,0.227006941,1,1
180,0.480776164,0.331375227,0.239860173,1,1
181,0.488982792,0.334014808,0.253072753,1,1
182,0.496926882,0.337397232,0.266558067,1,1
183,0.504607109,0.341511023,0.280230145,1,1
184,0.51202533,0.346342187,0.294004093,1,1
185,0.519186077,0.351874481,0.307796526,1,1
186,0.526095844,0.358089791,0.32152602,1,1
187,0.532762286,0.364968559,0.335113598,1,1
188,0.53919341,0.372490213,0.34848326,1,1
189,0.545396879,0.380633517,0.361562563,1,1
190,0.551379498,0.389376821,0.374283249,1,1
191,0.557146946,0.398698177,0.386581929,1,1
192,0.562703772,0.408575336,0.398400799,1,1
193,0.568053629,0.41898563,0.409688378,1,1
194,0.573199706,0.429905805,0.420400235,1,1
195,0.578145265,0.44131184,0.430499677,1,1
196,0.582894207,0.453178807,0.439958358,1,1
197,0.58745157,0.465480822,0.448756759,1,1
198,0.591823881,0.478191102,0.456884509,1,1
199,0.596019307,0.491282144,0.464340498,1,1
200,0.600047565,0.504726009,0.471132748,1,1
201,0.603919603,0.518494676,0.477278021,1,1
202,0.607647047,0.532560413,0.482801156,1,1
203,0.611241496,0.546896134,0.48773413,1,1
204,0.61471369,0.561475665,0.492114888,1,1
205,0.618072669,0.576273887,0.495985968,1,1
206,0.621324974,0.59126674,0.499392987,1,1
207,0.624474002,0.606431045,0.50238308,1,1
208,0.627519569,0.621744178,0.505003361,1,1
209,0.630457762,0.637183606,0.507299514,1,1
210,0.6332811,0.652726318,0.509314603,1,1
211,0.635979044,0.668348208,0.511088169,1,1
